578, 912, 1998
692, 874, 1998
779, 857, 1998
841, 869, 1993
858, 848, 1796
842, 806, 1478
-,-,-
12, -68, 1136
15, -100, 1207
31, -118, 1340
31, -118, 1340
121, -128, 1485
212, -115, 1605
284, -94, 1692
339, -96, 1739
372, -64, 1789
414, -30, 1783
431, -3, 1695
431, -3, 1695
446, 23, 1564
468, 34, 1422
495, 71, 1271
520, 75, 1097
503, 38, 963
503, 38, 963
460, -11, 797
410, -41, 637
373, -74, 495
312, -106, 389
312, -106, 389
246, -132, 314
195, -154, 276
161, -163, 172
146, -97, 185
8, -92, 14
8, -92, 14
-47, -120, -65
-125, -120, -48
-173, -124, -78
-224, -133, -66
-257, -166, -8
-268, -192, 62
-268, -192, 62
-274, -183, 170
-283, -134, 299
-290, -95, 345
-244, -58, 363
-209, -1, 460
-206, 129, 548
-248, 197, 752
-248, 197, 752
-270, 162, 970
-240, 208, 1042
-211, 395, 1056
-201, 464, 1245
-228, 401, 1496
-241, 482, 1538
-169, 667, 1580
-96, 721, 1732
-27, 681, 1861
6, 712, 1947
6, 712, 1947
72, 764, 1993
190, 796, 1998
282, 803, 1998
321, 778, 1998
364, 739, 1998
364, 739, 1998
487, 656, 1998
565, 630, 1998
633, 618, 1988
685, 587, 1930
730, 581, 1783
752, 580, 1616
758, 580, 1513
758, 545, 1513
757, 510, 1397
751, 492, 1224
717, 421, 1081
622, 355, 942
497, 280, 753
377, 280, 482
377, 214, 482
281, 195, 266
212, 125, 99
-,-,-
90, -77, 1125
105, -72, 1190
101, -61, 1211
123, -80, 1256
123, -80, 1256
149, -85, 1333
174, -96, 1373
206, -76, 1405
243, -75, 1445
264, -100, 1454
288, -105, 1411
319, -115, 1403
337, -117, 1376
337, -117, 1376
344, -106, 1299
365, -73, 1216
373, -67, 1161
351, -49, 1106
345, -40, 1003
342, -31, 906
323, -47, 818
323, -47, 818
289, -51, 744
253, -62, 665
216, -97, 572
172, -125, 507
124, -146, 447
124, -146, 447
78, -165, 398
55, -196, 348
38, -244, 338
7, -265, 375
-25, -302, 428
-25, -302, 428
-22, -333, 434
-34, -344, 451
-47, -337, 532
-67, -337, 639
-76, -315, 668
-80, -271, 614
-91, -230, 630
-91, -230, 630
-86, -217, 696
-64, -214, 715
-80, -189, 686
-118, -156, 671
-121, -113, 661
-72, -106, 673
-84, -92, 685
-84, -92, 685
-146, -104, 755
-117, -109, 843
-16, -39, 892
38, 2, 946
10, -1, 986
10, -1, 986
-33, -3, 1061
-43, 32, 1108
0, 79, 1052
0, 79, 1052
17, 118, 1074
-15, 105, 1106
-64, 105, 1116
-82, 143, 1114
-57, 187, 1051
-57, 187, 1051
-38, 216, 1078
-38, 233, 1127
-28, 269, 1157
8, 304, 1197
27, 276, 1232
27, 276, 1232
39, 278, 1264
46, 347, 1291
60, 378, 1346
60, 347, 1376
38, 368, 1364
38, 368, 1364
43, 413, 1359
75, 425, 1352
118, 379, 1326
130, 381, 1325
130, 399, 1339
130, 399, 1339
158, 399, 1327
199, 374, 1302
230, 375, 1336
255, 388, 1336
256, 432, 1322
271, 411, 1306
278, 396, 1343
278, 396, 1343
298, 398, 1374
317, 434, 1335
341, 432, 1266
346, 394, 1259
351, 373, 1264
373, 369, 1234
382, 347, 1265
382, 347, 1265
373, 324, 1297
358, 304, 1260
350, 302, 1219
341, 307, 1174
320, 339, 1145
328, 304, 1092
318, 273, 973
-,-,-
68, -30, 1078
67, -21, 1087
70, -64, 1201
83, -73, 1266
83, -73, 1266
116, -46, 1334
160, -33, 1379
195, -26, 1443
227, -16, 1542
253, 5, 1605
282, 40, 1613
282, 40, 1613
303, 62, 1556
322, 74, 1476
330, 64, 1430
334, 43, 1345
334, 43, 1345
332, 38, 1232
334, 16, 1124
331, -10, 1026
316, -52, 927
313, -83, 852
313, -83, 852
290, -105, 782
276, -141, 717
279, -162, 657
260, -192, 660
233, -199, 669
224, -225, 600
224, -225, 600
208, -238, 531
190, -253, 487
176, -248, 458
152, -261, 462
120, -254, 436
82, -251, 403
50, -278, 397
50, -278, 397
25, -302, 381
4, -326, 362
-10, -328, 380
-28, -307, 387
-28, -307, 387
-34, -290, 415
-40, -302, 447
-72, -318, 484
-94, -319, 527
-109, -274, 557
-129, -214, 592
-165, -203, 634
-201, -201, 663
-204, -204, 674
-204, -204, 674
-205, -192, 675
-213, -155, 677
-207, -101, 734
-187, -59, 817
-191, -43, 901
-183, 23, 927
-125, 103, 972
-106, 97, 990
